 multi-objective programming,(Mohammed et al., 2021)
2-tuple linguistic representation? + fuzzy VIKOR programming, (Wen et al., 2020)
a systematic review?(Garg, 2021),
Aligning model research? Not sure relevance, (Scur et al., 2022)
Bayesian estimators machine learning, (Arıoğlu et al., 2021)
Binary-continuous invasive weed optimization ( metaheuristic), (Niknamfar & Niaki, 2018)
bi-objective mathematical programming, (A. Rezaei et al., 2020)
Bi-objective optimization + integrated routing problem simulation, (Hashemi-Amiri et al., 2023)
Bootstrap-DEA With Fuzzy Computing,(Yin et al., 2020)
Carbon emission? mixed-integer nonlinear program, (Lamba & Singh, 2019)
Carbon footprint? Expected Constraint programming multi objective optimization, (Hashmi et al., 2021)
Carbon? Multi-criteria mathematical programming, (Xiao et al., 2019)
Channel Strategies evaluation? Not sure relevant, (T. Li et al., 2022)
chaos optimization algorithm,(Zheng et al., 2021)
Configuration research? Not sure relevance, (Sabri et al., 2022)
different supplier credit scoring system comparison? not sure how relevant, (Wang et al., 2022)
Dynamic programming and Lagrangian relaxation programming, (X. Li et al., 2018)
Ensemble learning, (Hosseini & Khaled, 2019)
evaluation metric research ? not sure relevance, (Shu et al., 2022)
Fuzzy based mathematical programming, (Fagundes et al., 2021)
Fuzzy based mathematical programming, (Su, 2020)
Fuzzy based mathematical programming, (Zhou & Xun, 2018)
Fuzzy based mathematical programming, (Yadav et al., 2018)
Fuzzy based mathematical programming, (Liu & Wang, 2018)
Fuzzy based mathematical programming, (Lau et al., 2018)
Fuzzy based multi criteria mathematical programming, (Liu et al., 2019)
fuzzy based multi-criteria group decision-making model, (Islam & Arakawa, 2022)
fuzzy based multi-criteria mathematical programming, (Jiang et al., 2020)
fuzzy based multi-criteria mathematical programming,(Fan et al., 2020) 
Fuzzy based multi-criteria mathematical programming, (Wen et al., 2019)
fuzzy based multi-objective optimisation, (Ho et al., 2021)
Fuzzy constraint mathematical programming, (Niroomand et al., 2019)
fuzzy decision-making testing, (Nasrollahi et al., 2021)
fuzzy entropy weight-based multi-criteria decision model,(Sachdeva et al., 2021)
fuzzy linear programming, (Mahmoudi et al., 2022)
Fuzzy logic system, (Sarfaraz et al., 2022)
fuzzy mathematical optimization, (Ilyas et al., 2021)
Fuzzy multi criteria averaging mathematical programming, (Chang, 2019)
Fuzzy multiple objective linear programming, (Suprasongsin et al., 2020)
fuzzy multiplicative multi-objective optimisation, (Tavana et al., 2021)
Fuzzy optimization, (Nakiboglu & Bulgurcu, 2021)
fuzzy programming, (Sevastjanov et al., 2021)
Fuzzy programming, (Haleem et al., 2021)
Fuzzy programming, (Wang et al., 2020)
fuzzy programming, (Chatterjee et al., 2018)
Fuzzy programming + artificial neural network, (Yu et al., 2020)
Fuzzy programming + Qualitative research, (Mondragon et al., 2019)
fuzzy rough decision-making approach + linear programming, (Pamucar et al., 2022)
Game theory fuzzy representation and optimization, (Rong et al., 2022)
Game theory genetic algorithm, (Liu et al., 2018)
game-theory optimization (mathematical?), (Mediavilla et al., 2021)
Genetic Algorithm, (Ben Jouida & Krichen, 2022)
ground-handling not sure relevant? Fuzzy based mathematical optimization, (Bakır et al., 2021)
group decision-making algorithm ( looks like some sort of single point optimization algorithm), (Yang et al., 2022)
Group supplier selection? Mathematical programming, (Pearn et al., 2018)
hierarchical clustering algorithm, (Yu et al., 2021)
hotel outsourcing problem? Not sure relevant, (Hiamey & Hiamey, 2020)
integrated mixed integer linear programming model,(Ventura et al., 2022)
Intelligent information sharing ? not sure relevant, (Seok & Nof, 2018)
k-means clustering (machine learning) and mathematical programming, (Ijadi Maghsoodi et al., 2018)
linear physical programming multi-objective programming, (kumar et al., 2018)
linear programming, (Pratap et al., 2022)
mathematical programming, (Mahmoudi & Javed, 2022)
mathematical programming, (Krishankumar et al., 2022)
mathematical programming, (Hatami-Marbini et al., 2022)
mathematical programming, (Karami et al., 2021)
mathematical programming, (Dobos & Vörösmarty, 2021)
mathematical programming, (Ramadass et al., 2020)
Mathematical programming, (Yang & Chen, 2019)
Mathematical programming, (Restrepo & Villegas, 2019)
mathematical programming, (Basu et al., 2018)
mathematical programming (fuzzy) , (G. Li et al., 2022)
Mathematical programming and learning process (machine learning?), (Rosyidi & Pratama, 2018)
mathematical programming optimization, (de Souza Amaro et al., 2022)
mathematical programming optimization, (Chatterjee, 2022a)
mathematical programming optimization, (Chatterjee, 2022b)
mathematical programming optimization, (Yadegari & Avakh Darestani, 2021)
mathematical programming optimization, (Ventura et al., 2021)
mathematical programming optimization,(Solomon et al., 2021)
mathematical programming optimization,(Depczyński, 2021)
mathematical programming optimization? (Chen et al., 2021),
Memetic algorithm, (Zaretalab et al., 2020)
metaheuristic, (Kannan et al., 2021)
Metaheuristic (particle swarm optimization (PSO) and differential evolution (DE)),(Alejo-Reyes et al., 2021)
Mixed Integer Linear Programming, (Chakraborty et al., 2022)
Mixed integer linear programming,  (Nasiri et al., 2018)
mixed integer linear programming and mathematical programming-based heuristic algorithm, (Chen et al., 2018)
Mixed Integer Linear Programming model, (Esmaeili-Najafabadi et al., 2019)
mixed integer nonlinear programming model,(Sun et al., 2022)
Mixed-Integer Linear Programming, (Ahmad & Mondal, 2019b)
mixed-integer nonlinear model,(Esmaeili-Najafabadi et al., 2021)
Mixed-Integer Non-Linear Programming, (Ahmad et al., 2022)
mixed-integer non-linear programming, (Ahmad & Mondal, 2019a)
mixed-integer optimisation,  (Tan et al., 2022)
Monte Carlo simulation, (Negash & Kusumaningrum, 2019)
multi criteria decision model, (Kaushik et al., 2022)
Multi criteria mathematical programming, (Sarkar et al., 2018)
multi criteria mixed-integer linear programming, (Modibbo et al., 2022)
Multi Objective mathematical programming, (Zanjirani et al., 2019)
Multi-criteria decision making (mathematical programming?), (Garcez et al., 2021)
multi-criteria decision-making +multi-objective Genetic Algorithm, (Kabadayi & Dehghanimohammadabadi, 2022)
multi-criteria decision-making technique,(Ishizaka et al., 2022)
multi-criteria mathematical programming, (Pamucar et al., 2020)
multi-criteria mathematical programming, (Hadian et al., 2020)
Multi-criteria mathematical programming, (Mohammed et al., 2019)
multi-objective Mixed Integer Linear Programming model,(Toffano et al., 2022)
Multi-Objective Mixed-Integer Nonlinear Programming, (Yousefi et al., 2021)
multi-objective mixed-integer nonlinear programming, (Hu et al., 2018)
Multi-objective simulation optimization, (Muneeb et al., 2023)
Multi-objective supplier portfolio optimization, (Kellner et al., 2019)
Multiple Criteria Decision Making Method (machine learning?), (Fei et al., 2019)
Multiple criteria decision making+ Stochastic optimization, (Liao et al., 2022)
multiple criteria fuzzy mathematical optimization, (Liao et al., 2021)
multiple criteria optimization? (Garcia et al., 2021),
Multi-stage screening algorithm + heuristic algorithm.(Rezaei & Behnamian, 2021),
Neural Network, (Nazari-Shirkouhi et al., 2023)
nonlinear programming + genetic programming, (Chen, 2021)
nonlinear programming + Lingo,(Ayough et al., 2023)
ontology-based knowledge based approach (neural network?), (Konys, 2019)
particle swarm optimisation-back propagation neural network, (Yu et al., 2022)
Particle Swarm Optimization, (Abbaspour Onari & Jahangoshai Rezaee, 2022)
